ID,response_value,name,composer,id,condition,reverse
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,0,strangeness,bach,5,scrambled,False
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,2,dynamism-reverse,bach,6,scrambled,True
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,3,dynamism,bach,7,scrambled,False
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,4,coherence,bach,8,scrambled,False
A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,0,coherence-reverse,bach,9,scrambled,True
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,2,enjoyment,chopin,10,scrambled,False
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,1,desire-to-own,chopin,11,scrambled,False
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,1,coherence-reverse,chopin,0,scrambled,True
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,2,dynamism-reverse,chopin,1,scrambled,True
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,1,affect-reverse,chopin,2,scrambled,True
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,1,strangeness-reverse,chopin,3,scrambled,True
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,2,affect,chopin,4,scrambled,False
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,3,coherence,chopin,5,scrambled,False
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,1,expressiveness,chopin,6,scrambled,False
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,1,dynamism,chopin,7,scrambled,False
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,2,strangeness,chopin,8,scrambled,False
A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,2,expressiveness-reverse,chopin,9,scrambled,True
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,4,enjoyment,bach,10,scrambled,False
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,2,desire-to-own,bach,11,scrambled,False
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,1,dynamism,bach,0,scrambled,False
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,1,affect,bach,1,scrambled,False
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,3,strangeness,bach,2,scrambled,False
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,3,strangeness-reverse,bach,3,scrambled,True
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,1,affect-reverse,bach,4,scrambled,True
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,4,dynamism-reverse,bach,5,scrambled,True
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,1,coherence-reverse,bach,6,scrambled,True
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,3,coherence,bach,7,scrambled,False
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,3,expressiveness,bach,8,scrambled,False
A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,3,expressiveness-reverse,bach,9,scrambled,True
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,4,enjoyment,bach,10,forward,False
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,3,desire-to-own,bach,11,forward,False
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,3,strangeness-reverse,bach,0,forward,True
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,4,affect,bach,1,forward,False
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,0,coherence-reverse,bach,2,forward,True
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,0,affect-reverse,bach,3,forward,True
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,3,dynamism,bach,4,forward,False
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,3,expressiveness,bach,5,forward,False
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,2,dynamism-reverse,bach,6,forward,True
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,0,strangeness,bach,7,forward,False
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,4,coherence,bach,8,forward,False
A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,0,expressiveness-reverse,bach,9,forward,True
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,3,enjoyment,chopin,10,scrambled,False
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,1,desire-to-own,chopin,11,scrambled,False
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,0,affect-reverse,chopin,0,scrambled,True
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,2,strangeness-reverse,chopin,1,scrambled,True
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,0,dynamism-reverse,chopin,2,scrambled,True
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,3,expressiveness,chopin,3,scrambled,False
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,3,affect,chopin,4,scrambled,False
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,0,strangeness,chopin,5,scrambled,False
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,0,coherence-reverse,chopin,6,scrambled,True
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,3,coherence,chopin,7,scrambled,False
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,4,dynamism,chopin,8,scrambled,False
A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,0,expressiveness-reverse,chopin,9,scrambled,True
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,3,enjoyment,bach,10,reversed,False
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,3,desire-to-own,bach,11,reversed,False
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,3,dynamism-reverse,bach,0,reversed,True
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,3,affect,bach,1,reversed,False
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,1,expressiveness-reverse,bach,2,reversed,True
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,3,dynamism,bach,3,reversed,False
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,0,coherence-reverse,bach,4,reversed,True
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,1,affect-reverse,bach,5,reversed,True
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,4,coherence,bach,6,reversed,False
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,4,expressiveness,bach,7,reversed,False
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,4,strangeness-reverse,bach,8,reversed,True
A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,0,strangeness,bach,9,reversed,False
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,3,enjoyment,chopin,10,forward,False
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,2,desire-to-own,chopin,11,forward,False
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,2,strangeness-reverse,chopin,0,forward,True
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,3,affect-reverse,chopin,1,forward,True
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,3,dynamism,chopin,2,forward,False
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,3,expressiveness,chopin,3,forward,False
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,2,coherence,chopin,4,forward,False
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,3,expressiveness-reverse,chopin,5,forward,True
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,2,dynamism-reverse,chopin,6,forward,True
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,2,strangeness,chopin,7,forward,False
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,3,affect,chopin,8,forward,False
ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,4,coherence-reverse,chopin,9,forward,True
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,2,enjoyment,bach,10,forward,False
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,0,desire-to-own,bach,11,forward,False
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,1,affect,bach,0,forward,False
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,4,affect-reverse,bach,1,forward,True
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,0,dynamism,bach,2,forward,False
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,0,strangeness,bach,3,forward,False
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,2,dynamism-reverse,bach,4,forward,True
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,3,strangeness-reverse,bach,5,forward,True
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,1,expressiveness-reverse,bach,6,forward,True
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,3,coherence,bach,7,forward,False
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,2,expressiveness,bach,8,forward,False
A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,0,coherence-reverse,bach,9,forward,True
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,4,enjoyment,chopin,10,reversed,False
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,2,desire-to-own,chopin,11,reversed,False
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,1,strangeness,chopin,0,reversed,False
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,2,affect-reverse,chopin,1,reversed,True
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,1,expressiveness,chopin,2,reversed,False
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,4,coherence,chopin,3,reversed,False
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,0,affect,chopin,4,reversed,False
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,1,dynamism-reverse,chopin,5,reversed,True
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,0,coherence-reverse,chopin,6,reversed,True
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,1,dynamism,chopin,7,reversed,False
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,2,expressiveness-reverse,chopin,8,reversed,True
A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,1,strangeness-reverse,chopin,9,reversed,True
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,3,enjoyment,bach,10,forward,False
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,3,desire-to-own,bach,11,forward,False
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,1,coherence-reverse,bach,0,forward,True
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,3,dynamism,bach,1,forward,False
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,3,affect,bach,2,forward,False
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,3,dynamism-reverse,bach,3,forward,True
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,3,affect-reverse,bach,4,forward,True
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,2,strangeness,bach,5,forward,False
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,2,coherence,bach,6,forward,False
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,2,expressiveness-reverse,bach,7,forward,True
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,3,expressiveness,bach,8,forward,False
A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,3,strangeness-reverse,bach,9,forward,True
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,2,enjoyment,bach,10,reversed,False
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,2,desire-to-own,bach,11,reversed,False
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,3,affect,bach,0,reversed,False
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,0,coherence-reverse,bach,1,reversed,True
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,2,strangeness-reverse,bach,2,reversed,True
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,3,coherence,bach,3,reversed,False
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,0,strangeness,bach,4,reversed,False
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,3,dynamism-reverse,bach,5,reversed,True
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,1,expressiveness,bach,6,reversed,False
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,0,expressiveness-reverse,bach,7,reversed,True
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,2,dynamism,bach,8,reversed,False
A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,0,affect-reverse,bach,9,reversed,True
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,3,enjoyment,bach,10,scrambled,False
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,1,desire-to-own,bach,11,scrambled,False
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,0,strangeness,bach,0,scrambled,False
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,0,expressiveness-reverse,bach,1,scrambled,True
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,1,expressiveness,bach,2,scrambled,False
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,3,coherence-reverse,bach,3,scrambled,True
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,1,strangeness-reverse,bach,4,scrambled,True
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,4,affect,bach,5,scrambled,False
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,2,dynamism-reverse,bach,6,scrambled,True
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,2,affect-reverse,bach,7,scrambled,True
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,2,coherence,bach,8,scrambled,False
ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,4,dynamism,bach,9,scrambled,False
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,1,enjoyment,chopin,10,reversed,False
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,0,desire-to-own,chopin,11,reversed,False
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,1,expressiveness-reverse,chopin,0,reversed,True
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,2,affect-reverse,chopin,1,reversed,True
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,2,coherence,chopin,2,reversed,False
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,1,strangeness-reverse,chopin,3,reversed,True
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,2,dynamism-reverse,chopin,4,reversed,True
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,2,dynamism,chopin,5,reversed,False
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,3,expressiveness,chopin,6,reversed,False
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,1,affect,chopin,7,reversed,False
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,3,coherence-reverse,chopin,8,reversed,True
A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,3,strangeness,chopin,9,reversed,False
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,1,enjoyment,chopin,10,reversed,False
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,0,desire-to-own,chopin,11,reversed,False
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,2,affect,chopin,0,reversed,False
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,3,coherence-reverse,chopin,1,reversed,True
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,3,dynamism,chopin,2,reversed,False
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,2,affect-reverse,chopin,3,reversed,True
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,4,expressiveness,chopin,4,reversed,False
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,1,coherence,chopin,5,reversed,False
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,2,strangeness-reverse,chopin,6,reversed,True
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,1,dynamism-reverse,chopin,7,reversed,True
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,4,strangeness,chopin,8,reversed,False
A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,0,expressiveness-reverse,chopin,9,reversed,True
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,2,enjoyment,chopin,10,forward,False
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,1,desire-to-own,chopin,11,forward,False
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,1,strangeness,chopin,0,forward,False
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,3,affect,chopin,1,forward,False
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,3,coherence,chopin,2,forward,False
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,3,expressiveness-reverse,chopin,3,forward,True
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,1,affect-reverse,chopin,4,forward,True
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,1,expressiveness,chopin,5,forward,False
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,1,coherence-reverse,chopin,6,forward,True
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,3,dynamism-reverse,chopin,7,forward,True
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,3,dynamism,chopin,8,forward,False
A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,3,strangeness-reverse,chopin,9,forward,True
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,0,enjoyment,bach,10,reversed,False
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,0,desire-to-own,bach,11,reversed,False
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,1,dynamism,bach,0,reversed,False
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,1,affect-reverse,bach,1,reversed,True
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,2,affect,bach,2,reversed,False
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,3,expressiveness-reverse,bach,3,reversed,True
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,3,strangeness-reverse,bach,4,reversed,True
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,3,coherence,bach,5,reversed,False
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,2,dynamism-reverse,bach,6,reversed,True
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,2,coherence-reverse,bach,7,reversed,True
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,3,strangeness,bach,8,reversed,False
AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,0,expressiveness,bach,9,reversed,False
A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,0,enjoyment,chopin,10,reversed,False
A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,0,desire-to-own,chopin,11,reversed,False
A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,2,strangeness,chopin,0,reversed,False
A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,1,expressiveness-reverse,chopin,1,reversed,True
A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,1,coherence,chopin,2,reversed,False
